mode,alpha,beta,conf_threshold,minor_gate,major_gate,macro_f1,f1_minor,f1_major,f1_dest,triage
A,1.0,0.2,,,,0.5152375155244606,0.125,0.14285714285714288,0.8542199488491048,0.2678571428571429
A,1.0,0.5,,,,0.5152375155244606,0.125,0.14285714285714288,0.8542199488491048,0.2678571428571429
A,1.0,1.0,,,,0.5138792412940266,0.125,0.13793103448275862,0.8542199488491048,0.2629310344827586
A,1.0,2.0,,,,0.5111609118976543,0.125,0.12903225806451613,0.8527528809218949,0.2540322580645161
A,1.0,5.0,,,,0.5011945219577918,0.12903225806451615,0.08888888888888889,0.8498074454428755,0.21792114695340503
A,2.0,0,,,,0.5152138105661345,0.1212121212121212,0.14814814814814814,0.8531289910600256,0.26936026936026936
A,2.0,0.1,,,,0.5141637986906529,0.1212121212121212,0.14285714285714288,0.8542199488491048,0.26406926406926406
A,2.0,0.2,,,,0.5141637986906529,0.1212121212121212,0.14285714285714288,0.8542199488491048,0.26406926406926406
A,2.0,0.5,,,,0.5141637986906529,0.1212121212121212,0.14285714285714288,0.8542199488491048,0.26406926406926406
A,2.0,1.0,,,,0.5128054032870478,0.1212121212121212,0.13793103448275862,0.8542199488491048,0.25914315569487983
A,2.0,2.0,,,,0.5100869525436551,0.1212121212121212,0.12903225806451613,0.8527528809218949,0.25024437927663734
A,2.0,5.0,,,,0.5000586989675565,0.125,0.08888888888888889,0.8498074454428755,0.2138888888888889
A,5.0,0,,,,0.5097890659999311,0.10256410256410256,0.14814814814814814,0.8516624040920716,0.2507122507122507
A,5.0,0.1,,,,0.5087389338846356,0.10256410256410256,0.14285714285714288,0.8527528809218949,0.24542124542124544
A,5.0,0.2,,,,0.5087389338846356,0.10256410256410256,0.14285714285714288,0.8527528809218949,0.24542124542124544
A,5.0,0.5,,,,0.5087389338846356,0.10256410256410256,0.14285714285714288,0.8527528809218949,0.24542124542124544
A,5.0,1.0,,,,0.5073800447413506,0.10256410256410256,0.13793103448275862,0.8527528809218949,0.24049513704686118
A,5.0,2.0,,,,0.5046601590658746,0.10256410256410256,0.12903225806451613,0.8512820512820513,0.23159636062861869
A,5.0,5.0,,,,0.4943552136657395,0.10526315789473685,0.08888888888888889,0.8483290488431876,0.19415204678362574
B,0,0,,,,0.5162875273999422,0.125,0.14814814814814814,0.8531289910600256,0.27314814814814814
B,0,0.1,,,,0.5229962093018738,0.125,0.1739130434782609,0.8531289910600256,0.29891304347826086
B,0,0.2,,,,0.5063398790714462,0.125,0.10526315789473684,0.8545918367346939,0.23026315789473684
B,0,0.5,,,,0.48147082132890184,0.125,0.0,0.8593155893536121,0.125
B,0,1.0,,,,0.48168539438819674,0.125,0.0,0.8596713021491782,0.125
B,0,2.0,,,,0.4814140334973669,0.125,0.0,0.8585858585858587,0.125
B,0,5.0,,,,0.4814140334973669,0.125,0.0,0.8585858585858587,0.125
B,0.1,0,,,,0.5002694053965555,0.06666666666666667,0.14285714285714288,0.8531289910600256,0.20952380952380956
B,0.1,0.1,,,,0.5084271753012383,0.06666666666666667,0.1739130434782609,0.8531289910600256,0.24057971014492757
B,0.1,0.2,,,,0.4917706911205056,0.06666666666666667,0.10526315789473684,0.8545918367346939,0.1719298245614035
B,0.1,0.5,,,,0.4669013542281357,0.06666666666666667,0.0,0.8593155893536121,0.06666666666666667
B,0.1,1.0,,,,0.46711580150187393,0.06666666666666667,0.0,0.8596713021491782,0.06666666666666667
B,0.1,2.0,,,,0.466844440611044,0.06666666666666667,0.0,0.8585858585858587,0.06666666666666667
B,0.1,5.0,,,,0.466844440611044,0.06666666666666667,0.0,0.8585858585858587,0.06666666666666667
B,0.2,0,,,,0.5035787147960306,0.07692307692307691,0.14285714285714288,0.8545918367346939,0.21978021978021978
B,0.2,0.1,,,,0.5117350206677455,0.07692307692307691,0.1739130434782609,0.8545918367346939,0.2508361204013378
B,0.2,0.2,,,,0.4950768664088588,0.07692307692307691,0.10526315789473684,0.8560509554140128,0.18218623481781376
